region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Amazonas,2020-04-22,nowcast,1.6,1.2,2.1,1.4,1.7,0.01
Amazonas,2020-04-23,nowcast,1.6,1.2,2,1.4,1.7,0.01
Amazonas,2020-04-24,nowcast,1.5,1.1,1.9,1.4,1.7,0.01
Amazonas,2020-04-25,nowcast,1.5,1.2,1.9,1.3,1.6,0
Amazonas,2020-04-26,nowcast,1.5,1.1,1.8,1.3,1.6,0.01
Amazonas,2020-04-27,nowcast,1.5,1.1,1.8,1.3,1.5,0.01
Amazonas,2020-04-28,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Amazonas,2020-04-29,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Amazonas,2020-04-30,nowcast,1.4,1.1,1.6,1.3,1.5,0.01
Amazonas,2020-05-01,nowcast,1.3,1.1,1.6,1.3,1.5,0.01
Amazonas,2020-05-02,nowcast,1.3,1.1,1.6,1.2,1.4,0.02
Amazonas,2020-05-03,nowcast,1.3,1,1.5,1.2,1.4,0.03
Amazonas,2020-05-04,nowcast,1.2,1,1.5,1.1,1.3,0.05
Amazonas,2020-05-05,nowcast,1.2,1,1.4,1.1,1.3,0.09
Amazonas,2020-05-06,nowcast,1.1,0.9,1.3,1.1,1.2,0.17
Amazonas,2020-05-07,nowcast,1.1,0.9,1.3,1,1.2,0.27
Amazonas,2020-05-08,nowcast,1,0.8,1.2,1,1.1,0.37
Amazonas,2020-05-09,nowcast,1,0.8,1.2,0.9,1.1,0.51
Amazonas,2020-05-10,nowcast,1,0.8,1.1,0.9,1,0.63
Amazonas,2020-05-11,nowcast,1,0.8,1.1,0.9,1,0.71
Amazonas,2020-05-12,nowcast,0.9,0.8,1.1,0.9,1,0.74
Amazonas,2020-05-13,nowcast,1,0.8,1.1,0.9,1,0.72
Amazonas,2020-05-14,nowcast,1,0.8,1.1,0.9,1,0.66
Amazonas,2020-05-15,nowcast,1,0.8,1.1,0.9,1,0.63
Amazonas,2020-05-16,nowcast,1,0.8,1.2,0.9,1,0.57
Amazonas,2020-05-17,nowcast,1,0.8,1.2,0.9,1,0.52
Amazonas,2020-05-18,nowcast,1,0.9,1.2,1,1.1,0.37
Amazonas,2020-05-19,nowcast,1.1,0.9,1.3,1,1.1,0.21
Amazonas,2020-05-20,forecast,1.1,0.8,1.4,1,1.2,0.3
Amazonas,2020-05-21,forecast,1.1,0.8,1.4,0.9,1.2,0.32
Amazonas,2020-05-22,forecast,1.1,0.7,1.4,0.9,1.2,0.35
