region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Amazonas,2020-04-22,nowcast,1.6,1.2,2.1,1.4,1.8,0.01
Amazonas,2020-04-23,nowcast,1.6,1.1,2,1.4,1.7,0.01
Amazonas,2020-04-24,nowcast,1.5,1.2,1.9,1.4,1.7,0
Amazonas,2020-04-25,nowcast,1.5,1.1,1.9,1.3,1.6,0.01
Amazonas,2020-04-26,nowcast,1.5,1.2,1.9,1.3,1.6,0
Amazonas,2020-04-27,nowcast,1.5,1.2,1.8,1.4,1.6,0.01
Amazonas,2020-04-28,nowcast,1.4,1.1,1.8,1.3,1.6,0.01
Amazonas,2020-04-29,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Amazonas,2020-04-30,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Amazonas,2020-05-01,nowcast,1.4,1.1,1.6,1.3,1.5,0.01
Amazonas,2020-05-02,nowcast,1.3,1.1,1.6,1.2,1.4,0.01
Amazonas,2020-05-03,nowcast,1.3,1,1.5,1.2,1.4,0.02
Amazonas,2020-05-04,nowcast,1.2,1,1.5,1.1,1.3,0.05
Amazonas,2020-05-05,nowcast,1.2,1,1.4,1.1,1.3,0.08
Amazonas,2020-05-06,nowcast,1.1,0.9,1.3,1.1,1.2,0.15
Amazonas,2020-05-07,nowcast,1.1,0.9,1.3,1,1.2,0.27
Amazonas,2020-05-08,nowcast,1,0.8,1.2,1,1.1,0.41
Amazonas,2020-05-09,nowcast,1,0.8,1.2,0.9,1.1,0.56
Amazonas,2020-05-10,nowcast,1,0.8,1.1,0.9,1,0.69
Amazonas,2020-05-11,nowcast,0.9,0.8,1.1,0.9,1,0.75
Amazonas,2020-05-12,nowcast,0.9,0.8,1.1,0.9,1,0.79
Amazonas,2020-05-13,nowcast,0.9,0.8,1.1,0.9,1,0.78
Amazonas,2020-05-14,nowcast,0.9,0.8,1.1,0.9,1,0.74
Amazonas,2020-05-15,nowcast,0.9,0.8,1.1,0.9,1,0.73
Amazonas,2020-05-16,nowcast,0.9,0.8,1.1,0.9,1,0.73
Amazonas,2020-05-17,nowcast,0.9,0.8,1.1,0.9,1,0.71
Amazonas,2020-05-18,nowcast,1,0.8,1.1,0.9,1,0.62
Amazonas,2020-05-19,nowcast,1,0.8,1.2,0.9,1.1,0.52
Amazonas,2020-05-20,nowcast,1,0.8,1.2,0.9,1.1,0.41
Amazonas,2020-05-21,forecast,1,0.8,1.3,0.9,1.1,0.46
Amazonas,2020-05-22,forecast,1,0.7,1.3,0.9,1.1,0.47
Amazonas,2020-05-23,forecast,1,0.7,1.4,0.8,1.1,0.48
Amazonas,2020-05-24,forecast,1,0.7,1.4,0.8,1.1,0.48
Amazonas,2020-05-25,forecast,1,0.6,1.4,0.8,1.1,0.49
Amazonas,2020-05-26,forecast,1,0.6,1.4,0.8,1.2,0.49
Amazonas,2020-05-27,forecast,1,0.5,1.5,0.8,1.1,0.52
Amazonas,2020-05-28,forecast,1,0.5,1.5,0.8,1.2,0.51
Amazonas,2020-05-29,forecast,1,0.5,1.5,0.8,1.2,0.52
